70年,非共有,74353,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-08-09,3室2厅1厨2卫,平层,板楼,2001年建/板楼,商品房,中楼层 (共11层),122.39㎡,怡美家园,海淀上地,2012-04-13,一梯两户,精装,910
未知,非共有,52769,暂无数据,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-08-05,2室1厅1厨1卫,平层,板塔结合,2009年建/板塔结合,限价商品房,中楼层 (共18层),88.12㎡,鸿业兴园二区,丰台玉泉营,2011-02-22,一梯三户,精装,465
70年,非共有,52304,无,有抵押 40万元 客户偿还,已上传房本照片,普通住宅,满五年,西南,集中供暖,2018-08-12,3室1厅1厨1卫,平层,板楼,1995年建/板楼,商品房,中楼层 (共6层),94.64㎡,依翠园,石景山鲁谷,2009-08-19,一梯三户,精装,495
70年,非共有,46148,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-06,2室1厅1厨2卫,平层,板楼,2004年建/板楼,商品房,中楼层 (共13层),101.63㎡,天伦锦城,丰台花乡,2004-09-13,一梯两户,简装,469
70年,共有,51366,无,有抵押 50万元 北京银行 业主自还,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-06,3室1厅1厨1卫,平层,板楼,1989年建/板楼,商品房,低楼层 (共6层),73.98㎡,永乐西区,石景山鲁谷,2009-06-25,一梯两户,精装,380
70年,共有,57950,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-06,2室2厅1厨1卫,平层,塔楼,2011年建/塔楼,商品房,中楼层 (共35层),88.87㎡,京贸国际城西区,通州武夷花园,2013-11-22,两梯五户,精装,515
70年,非共有,52100,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-02,3室1厅1厨2卫,平层,板塔结合,2005年建/板塔结合,商品房,中楼层 (共10层),116.7㎡,和光里,丰台五里店,2009-06-17,一梯三户,精装,608
70年,非共有,39320,有,有抵押 100万元 工商银行 客户偿还,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-05,4室2厅1厨2卫,平层,板塔结合,2008年建/板塔结合,商品房,低楼层 (共22层),178.03㎡,裕龙三区,顺义顺义城,2010-11-12,两梯三户,精装,700
70年,非共有,70826,有,有抵押 83万元 客户偿还,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-07-31,2室1厅1厨1卫,平层,板塔结合,2007年建/板塔结合,商品房,高楼层 (共15层),73.42㎡,新永外文化用品商城,东城永定门,2013-03-21,三梯二十三户,简装,520
70年,非共有,102311,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-02,3室2厅1厨2卫,平层,板楼,2000年建/板楼,商品房,中楼层 (共7层),151.5㎡,远大园四区,海淀世纪城,2007-04-09,一梯两户,精装,1550
70年,非共有,91068,有,无抵押,已上传房本照片,普通住宅,满五年,南,自供暖,2018-07-28,2室1厅1厨1卫,平层,塔楼,2006年建/塔楼,二类经济适用房,中楼层 (共17层),86.2㎡,西营房,东城安定门,2006-08-05,三梯十五户,简装,785
70年,非共有,43927,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-07-28,2室1厅1厨1卫,平层,板塔结合,2010年建/板塔结合,限价商品房,高楼层 (共19层),74.67㎡,金隅嘉和园,昌平东关,2012-02-21,两梯四户,精装,328
70年,非共有,46485,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-04-15,2室2厅1厨1卫,平层,板楼,2007年建/板楼,商品房,低楼层 (共15层),103.26㎡,时代龙和,大兴黄村中,2011-03-15,一梯三户,简装,480
70年,非共有,45310,无,暂无数据,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-07-26,2室1厅1厨1卫,平层,板楼,1998年建/板楼,商品房,顶层 (共6层),81.44㎡,佳运园一期,昌平立水桥,2012-05-23,一梯三户,精装,369
70年,非共有,61698,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-03-16,3室1厅1厨2卫,平层,板楼,2002年建/板楼,一类经济适用房,中楼层 (共6层),119.13㎡,汇丰家园,丰台玉泉营,2004-04-20,一梯两户,简装,735
70年,非共有,145479,有,有抵押 400万元 中信 业主自还,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-03-17,2室1厅1厨2卫,平层,板楼,2006年建/板楼,商品房,中楼层 (共7层),108.47㎡,富力信然庭,西城陶然亭,2009-03-11,一梯两户,精装,1578
70年,非共有,85786,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2017-12-29,2室2厅1厨2卫,平层,板楼,2008年建/板楼,商品房,中楼层 (共18层),151.54㎡,泛海国际碧海园,朝阳朝阳公园,2010-01-07,两梯两户,精装,1300
70年,非共有,53337,无,无抵押,已上传房本照片,普通住宅,满五年,东 南 西,自供暖,2017-12-21,2室1厅1厨2卫,平层,板楼,2002年建/板楼,一类经济适用房,底层 (共6层),99.37㎡,汇丰家园,丰台玉泉营,2004-04-20,一梯两户,简装,530
70年,非共有,61690,有,无抵押,已上传房本照片,普通住宅,满五年,东,自供暖,2017-12-21,1室2厅1厨1卫,平层,板塔结合,2005年建/板塔结合,一类经济适用房,高楼层 (共22层),69.38㎡,三环新城6号院,丰台玉泉营,2007-09-04,两梯六户,简装,428
70年,非共有,59012,有,有抵押 580万元 国际信托公司 客户偿还,已上传房本照片,普通住宅,满五年,西南,集中供暖,2017-12-20,3室1厅1厨2卫,平层,塔楼,2005年建/塔楼,私产,中楼层 (共24层),147.43㎡,兴隆家园,朝阳高碑店,2006-06-15,三梯八户,其他,870
70年,非共有,27483,有,无抵押,已上传房本照片,普通住宅,满五年,东 西 北,自供暖,2017-12-01,3室2厅1厨2卫,平层,板塔结合,2009年建/板塔结合,商品房,低楼层 (共14层),143.73㎡,加州水郡三期,房山长阳,2011-11-07,一梯三户,精装,395
70年,非共有,41979,有,有抵押 100万元,已上传房本照片,普通住宅,满五年,西,集中供暖,2017-08-25,3室1厅1厨2卫,平层,塔楼,2004年建/塔楼,商品房,中楼层 (共24层),121.49㎡,京贸国际公寓,通州通州北苑,2005-05-10,三梯十户,精装,510
70年,非共有,48474,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2017-08-23,3室1厅1厨2卫,平层,板楼,2004年建/板楼,商品房,高楼层 (共6层),123.78㎡,翠成馨园,朝阳垡头,2010-05-08,一梯两户,简装,600
70年,非共有,45913,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2017-08-11,3室2厅1厨1卫,平层,板楼,2006年建/板楼,商品房,顶层 (共6层),111.08㎡,兴海家园月苑,大兴西红门,2010-11-10,一梯两户,精装,510
70年,非共有,62696,有,暂无数据,已上传房本照片,普通住宅,满五年,西北,集中供暖,2018-11-28,2室1厅1厨1卫,平层,塔楼,1990年建/塔楼,商品房,中楼层 (共22层),63.8㎡,华威西里,朝阳潘家园,2012-02-02,两梯八户,其他,400
70年,非共有,73376,有,无抵押,已上传房本照片,普通住宅,满五年,西,集中供暖,2018-12-18,1室0厅1厨1卫,平层,板塔结合,2006年建/板塔结合,商品房,顶层 (共11层),38.16㎡,酷特区,朝阳石佛营,2006-12-06,一梯七户,精装,280
70年,非共有,98821,有,有抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-11-25,3室2厅1厨2卫,平层,板塔结合,2004年建/板塔结合,商品房,低楼层 (共16层),135.6㎡,格调,西城马连道,2012-02-27,两梯六户,精装,1340
70年,非共有,54924,无,有抵押 业主自还,已上传房本照片,普通住宅,满五年,东北,集中供暖,2018-11-17,2室1厅1厨1卫,平层,板楼,1986年建/板楼,商品房,中楼层 (共6层),50.98㎡,韩庄子西里,丰台看丹桥,2013-03-08,一梯六户,精装,280
70年,非共有,37709,有,有抵押 70万元 客户偿还,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-11-17,2室1厅1厨1卫,平层,板楼,2010年建/板楼,商品房,低楼层 (共10层),88.84㎡,原香小镇一区,房山长阳,2013-05-10,一梯两户,精装,335
70年,非共有,64734,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-11-05,2室2厅1厨1卫,平层,板楼,2006年建/板楼,商品房,中楼层 (共16层),96.55㎡,万年花城三期,丰台玉泉营,2008-07-09,一梯三户,精装,625
70年,非共有,66552,有,有抵押 业主自还,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-11-13,2室1厅1厨1卫,平层,塔楼,2006年建/塔楼,商品房,高楼层 (共27层),87.15㎡,万年花城二期,丰台玉泉营,2007-09-18,两梯十户,简装,580
70年,非共有,115619,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-11-09,2室1厅1厨1卫,平层,板楼,1983年建/板楼,已购公房,底层 (共6层),49.3㎡,西三环北路105号院,海淀定慧寺,2002-03-07,一梯四户,简装,570
70年,非共有,44822,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2017-09-22,3室2厅1厨2卫,平层,板楼,2002年建/板楼,私产,中楼层 (共5层),162.87㎡,米兰天空,亦庄开发区亦庄,2003-09-19,一梯两户,简装,730
70年,非共有,86758,有,有抵押 200万元 银行 业主自还,已上传房本照片,普通住宅,满两年,东北,集中供暖,2018-11-07,2室1厅1厨1卫,平层,塔楼,2003年建/塔楼,商品房,高楼层 (共23层),82.99㎡,丽阳四季,西城马连道,2015-07-15,两梯八户,精装,720
70年,非共有,31575,无,有抵押 190万元 业主自还,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-10-28,3室1厅1厨1卫,平层,板楼,2000年建/板楼,商品房,中楼层 (共6层),98.18㎡,长丰园一区,大兴科技园区,2016-03-11,一梯两户,简装,310
70年,非共有,53919,有,无抵押,已上传房本照片,普通住宅,满五年,东 西北,自供暖,2018-10-22,2室1厅1厨1卫,平层,板塔结合,2005年建/板塔结合,一类经济适用房,低楼层 (共29层),79.75㎡,三环新城7号院,丰台玉泉营,2006-03-29,两梯五户,简装,430
70年,非共有,66099,有,无抵押,已上传房本照片,普通住宅,满五年,东 南 北,集中供暖,2018-10-19,2室2厅1厨1卫,平层,塔楼,2008年建/塔楼,商品房,高楼层 (共27层),88.05㎡,万年花城四期,丰台玉泉营,2009-06-04,三梯十户,简装,582
70年,共有,56476,有,有抵押 100万元 客户偿还,已上传房本照片,普通住宅,满五年,东 西 北,自供暖,2018-10-15,2室1厅1厨1卫,平层,板塔结合,2005年建/板塔结合,商品房,中楼层 (共29层),79.68㎡,三环新城7号院,丰台玉泉营,2013-07-16,两梯五户,简装,450
70年,非共有,54347,有,无抵押,已上传房本照片,普通住宅,满五年,南,自供暖,2018-10-11,3室1厅1厨2卫,平层,板楼,2007年建/板楼,一类经济适用房,中楼层 (共14层),119.42㎡,三环新城8号院,丰台玉泉营,2008-11-21,两梯四户,简装,649
70年,共有,44136,无,有抵押 60万元 银行 业主自还,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-10-12,2室1厅1厨1卫,平层,板楼,1994年建/板楼,商品房,顶层 (共6层),66.16㎡,永顺西里,通州北关,2009-03-25,一梯两户,精装,292
70年,非共有,53345,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-10-09,3室1厅1厨1卫,平层,板楼,1997年建/板楼,商品房,低楼层 (共6层),95.23㎡,育仁里2号院,丰台科技园区,2011-06-21,一梯两户,简装,508
70年,非共有,98205,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-10-10,2室1厅1厨1卫,平层,板楼,1983年建/板楼,已购公房,中楼层 (共6层),56.82㎡,红莲北里,西城马连道,2007-06-16,一梯三户,简装,558
70年,非共有,56505,无,暂无数据,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2019-01-10,3室1厅1厨1卫,平层,板楼,1986年建/板楼,已购公房,中楼层 (共6层),76.1㎡,育芳园,丰台玉泉营,1997-08-06,一梯三户,其他,430
70年,非共有,65811,有,暂无数据,已上传房本照片,普通住宅,满五年,西南,集中供暖,2019-01-10,2室1厅1厨1卫,平层,塔楼,1990年建/塔楼,已购公房,高楼层 (共24层),74㎡,太平桥小区,丰台太平桥,1994-09-03,两梯八户,其他,487
70年,非共有,41884,暂无数据,有抵押 81万元 交通银行 客户偿还,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2019-01-04,2室1厅1厨1卫,平层,板楼,1990年建/板楼,商品房,中楼层 (共6层),53.72㎡,丰西北里,丰台五里店,2016-07-22,一梯两户,简装,225
70年,非共有,53207,无,有抵押 112万元 农行 客户偿还,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2019-01-04,2室1厅1厨1卫,平层,板楼,1995年建/板楼,商品房,低楼层 (共6层),70.48㎡,龙华园,昌平回龙观,2015-09-17,一梯两户,其他,375
70年,非共有,91447,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-11-28,3室1厅1厨1卫,平层,板楼,1986年建/板楼,已购公房,中楼层 (共5层),71.08㎡,十字坡东里,东城工体,1999-06-26,一梯三户,毛坯,650
70年,非共有,65031,有,无抵押,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-11-24,2室1厅1厨1卫,平层,塔楼,2008年建/塔楼,商品房,高楼层 (共23层),74.58㎡,建茗苑,丰台马连道,2013-04-23,两梯十户,简装,485
70年,非共有,63203,有,有抵押 120万元 客户偿还,已上传房本照片,普通住宅,满五年,西南,自供暖,2018-10-20,2室1厅1厨1卫,平层,塔楼,2005年建/塔楼,商品房,低楼层 (共24层),107.59㎡,丽泽雅园,丰台马连道,2012-11-01,三梯八户,精装,680
70年,非共有,54752,有,暂无数据,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-15,3室1厅1厨1卫,平层,板楼,2007年建/板楼,商品房,低楼层 (共15层),94.61㎡,柏林爱乐三期,朝阳常营,2008-07-29,两梯三户,其他,518
70年,非共有,31454,有,有抵押 30万元 业主自还,已上传房本照片,普通住宅,满五年,西,自供暖,2018-09-30,2室1厅1厨1卫,平层,板塔结合,2008年建/板塔结合,商品房,中楼层 (共15层),87.43㎡,加州水郡三期,房山长阳,2011-12-28,两梯六户,精装,275
70年,非共有,43273,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-08,3室2厅1厨2卫,平层,板塔结合,2009年建/板塔结合,商品房,高楼层 (共12层),113.93㎡,兴城丽源,大兴枣园,2013-06-24,一梯四户,精装,493
70年,非共有,41608,有,无抵押,已上传房本照片,普通住宅,满五年,东 南 北,集中供暖,2018-08-08,3室1厅1厨2卫,平层,板楼,2008年建/板楼,商品房,底层 (共8层),118.97㎡,邑上苑,昌平鼓楼大街,2013-11-11,一梯三户,简装,495
70年,非共有,75919,有,无抵押,已上传房本照片,普通住宅,满五年,南 西,集中供暖,2018-08-16,2室1厅1厨1卫,平层,板楼,2008年建/板楼,一类经济适用房,中楼层 (共26层),94.18㎡,芍药居北里,朝阳芍药居,2010-06-28,两梯四户,简装,715
70年,非共有,46227,有,无抵押,已上传房本照片,普通住宅,满五年,东南,集中供暖,2018-07-23,2室2厅1厨1卫,平层,板楼,2007年建/板楼,商品房,高楼层 (共15层),101.24㎡,首邑上城,大兴枣园,2009-02-02,两梯五户,简装,468
70年,非共有,31182,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-07-11,2室2厅1厨1卫,平层,板楼,2004年建/板楼,商品房,顶层 (共6层),101.02㎡,双河北里,大兴黄村中,2010-01-19,一梯两户,简装,315
70年,非共有,51174,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-07-07,2室1厅1厨1卫,平层,板楼,1991年建/板楼,商品房,底层 (共6层),56.67㎡,滨河西里,大兴枣园,2013-01-21,一梯两户,毛坯,290
70年,非共有,45857,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-07-06,2室1厅1厨1卫,平层,板楼,2005年建/板楼,一类经济适用房,中楼层 (共6层),106.42㎡,朝阳新城二区,朝阳东坝,2006-01-17,一梯两户,简装,488
70年,非共有,36505,暂无数据,暂无数据,已上传房本照片,普通住宅,满五年,南 北,暂无数据,2018-07-04,2室2厅1厨1卫,平层,板楼,2006年建/板楼,商品房,高楼层 (共6层),103㎡,兴水家园,大兴黄村火车站,2012-08-15,一梯两户,其他,376
70年,非共有,35508,有,有抵押 30万元 平安银行 客户偿还,已上传房本照片,普通住宅,满五年,东 西,自供暖,2018-07-05,3室2厅1厨2卫,平层,板楼,2006年建/板楼,商品房,高楼层 (共16层),143.35㎡,宏大北园,大兴西红门,2008-05-19,两梯四户,精装,509
70年,非共有,111387,有,无抵押,已上传房本照片,普通住宅,满五年,东,自供暖,2018-06-29,2室1厅1厨1卫,平层,塔楼,2002年建/塔楼,私产,低楼层 (共18层),121.2㎡,锋尚国际,海淀万柳,2003-11-04,两梯八户,其他,1350
70年,非共有,65294,有,有抵押 24万元 建设银行 业主自还,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-06-15,1室1厅1厨1卫,平层,板楼,2009年建/板楼,商品房,中楼层 (共22层),68.92㎡,美利山,朝阳百子湾,2010-09-03,两梯四户,精装,450
70年,非共有,56926,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-06-30,2室1厅1厨1卫,平层,板楼,1999年建/板楼,已购公房,顶层 (共5层),63.24㎡,西罗园四区,丰台西罗园,2013-06-13,一梯两户,简装,360
70年,非共有,92683,有,无抵押,已上传房本照片,普通住宅,满五年,西,集中供暖,2018-06-13,1室1厅1厨1卫,平层,塔楼,2002年建/塔楼,商品房,中楼层 (共26层),92.79㎡,亮马名居,朝阳燕莎,2006-02-13,三梯八户,精装,860
70年,非共有,112401,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-06-14,2室1厅1厨1卫,平层,板楼,1996年建/板楼,已购公房,底层 (共6层),55.16㎡,知春路2号院,海淀知春路,2002-02-06,一梯两户,简装,620
70年,非共有,69524,有,无抵押,已上传房本照片,普通住宅,满五年,北,集中供暖,2018-06-04,1室1厅1厨1卫,平层,塔楼,2007年建/塔楼,商品房,低楼层 (共28层),61.85㎡,后现代城C区,朝阳大望路,2008-06-05,四梯十二户,精装,430
70年,非共有,27284,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-05-29,3室2厅1厨1卫,平层,板楼,1998年建/板楼,商品房,低楼层 (共6层),111.79㎡,黄辛庄东里,房山良乡,2001-12-13,一梯两户,简装,305
70年,非共有,49608,无,有抵押 52万元 抵押业主可以自己还 业主自还,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-06-01,2室1厅1厨1卫,平层,板楼,1995年建/板楼,商品房,顶层 (共6层),86.68㎡,龙乡中区,昌平西三旗,2010-01-07,一梯两户,精装,430
70年,非共有,58765,有,无抵押,已上传房本照片,普通住宅,满五年,东,集中供暖,2018-05-28,1室1厅1厨1卫,平层,塔楼,2001年建/塔楼,一类经济适用房,低楼层 (共28层),59.56㎡,通惠家园,朝阳四惠,2004-01-05,三梯十户,精装,350
70年,非共有,145162,无,无抵押,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-05-21,2室1厅1厨1卫,平层,板楼,1982年建/板楼,已购公房,中楼层 (共6层),55.8㎡,六铺炕二区,西城六铺炕,2013-01-10,一梯三户,简装,810
70年,非共有,63536,有,有抵押 300万元 北京银行 业主自还,已上传房本照片,普通住宅,满五年,东南,自供暖,2018-05-20,3室1厅1厨2卫,平层,塔楼,2003年建/塔楼,商品房,高楼层 (共28层),144.8㎡,丰益花园东区,丰台丽泽,2012-04-05,三梯八户,简装,920
70年,非共有,65454,有,有抵押 80万元 客户偿还,已上传房本照片,普通住宅,满五年,东南,集中供暖,2018-08-31,2室1厅1厨1卫,平层,板楼,2006年建/板楼,商品房,底层 (共16层),93.96㎡,万年花城三期,丰台玉泉营,2009-09-18,两梯五户,简装,615
70年,非共有,52775,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-04-29,2室1厅1厨1卫,平层,板楼,1986年建/板楼,已购公房,高楼层 (共6层),77.31㎡,育芳园,丰台玉泉营,2000-06-14,一梯两户,简装,408
70年,非共有,41774,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-28,3室1厅1厨2卫,平层,板塔结合,2007年建/板塔结合,商品房,中楼层 (共25层),124.48㎡,沸城,丰台卢沟桥,2008-04-25,两梯四户,简装,520
70年,非共有,43292,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-08-10,3室2厅1厨1卫,平层,板楼,2003年建/板楼,商品房,中楼层 (共6层),114.34㎡,朝通嘉园,通州北关,2005-06-06,一梯两户,精装,495
70年,非共有,36904,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-06,2室1厅1厨1卫,平层,板楼,1996年建/板楼,已购公房,中楼层 (共6层),83.46㎡,石园西区,顺义顺义城,1998-07-21,一梯两户,简装,308
70年,共有,39693,无,有抵押 25万元 客户偿还,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-04,2室1厅1厨1卫,平层,板楼,2002年建/板楼,商品房,高楼层 (共7层),76.84㎡,长丰园二区,大兴科技园区,2007-09-03,一梯两户,简装,305
70年,非共有,74762,有,有抵押 350万元 客户偿还,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-08-01,3室2厅1厨2卫,平层,板塔结合,2004年建/板塔结合,商品房,高楼层 (共22层),193.95㎡,西屋国际,海淀苏州桥,2013-12-30,两梯四户,简装,1450
70年,非共有,41272,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-07-20,2室1厅1厨1卫,平层,板楼,1970年建/板楼,已购公房,顶层 (共4层),48.46㎡,首都机场南路西里,朝阳首都机场,2003-12-30,一梯三户,简装,200
未知,共有,32457,暂无数据,有抵押 60万元 农业银行 客户偿还,已上传房本照片,普通住宅,满五年,南,暂无数据,2018-07-16,2室1厅1厨1卫,平层,暂无数据,未知年建/暂无数据,商品房,中楼层 (共6层),86.27㎡,昊天嘉园,房山良乡,2012-07-25,一梯三户,简装,280
70年,非共有,36548,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-07-08,2室1厅1厨1卫,平层,板楼,2001年建/板楼,商品房,中楼层 (共6层),99.87㎡,石园东苑,顺义顺义城,2010-04-01,一梯两户,简装,365
70年,共有,35084,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-06-16,2室1厅1厨1卫,平层,板楼,2007年建/板楼,商品房,高楼层 (共15层),88.36㎡,瑞雪春堂,房山良乡,2010-11-11,一梯三户,简装,310
70年,非共有,72762,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-06-25,2室1厅1厨2卫,平层,板楼,2007年建/板楼,商品房,中楼层 (共6层),94.83㎡,沿海赛洛城,朝阳百子湾,2008-08-18,一梯两户,精装,690
70年,非共有,63016,有,有抵押 130万元 工商银行 客户偿还,已上传房本照片,普通住宅,满五年,东,集中供暖,2018-05-03,1室1厅1厨1卫,平层,板塔结合,2006年建/板塔结合,商品房,低楼层 (共25层),64.27㎡,炫特嘉园三期,朝阳石佛营,2013-06-26,两梯七户,精装,405
70年,非共有,49085,有,无抵押,已上传房本照片,普通住宅,满五年,南,自供暖,2018-02-28,2室1厅1厨1卫,平层,板塔结合,2010年建/板塔结合,限价商品房,底层 (共15层),82.51㎡,溪城家园,昌平立水桥,2013-01-10,两梯六户,精装,405
70年,共有,40875,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-02-25,3室1厅1厨1卫,平层,板楼,1997年建/板楼,商品房,中楼层 (共6层),97.86㎡,宏福园,大兴西红门,2013-04-15,一梯两户,简装,400
70年,非共有,88968,有,无抵押,已上传房本照片,普通住宅,满五年,南,自供暖,2018-01-23,1室1厅1厨1卫,平层,板塔结合,2004年建/板塔结合,商品房,中楼层 (共12层),61.82㎡,五月华庭,海淀新街口,2009-06-03,两梯三十四户,精装,550
70年,非共有,63008,无,无抵押,已上传房本照片,普通住宅,满五年,西南,集中供暖,2017-12-06,2室1厅1厨1卫,平层,板楼,1999年建/板楼,私产,底层 (共6层),82.53㎡,花家地西里三区,朝阳望京,2002-10-31,一梯三户,简装,520
70年,非共有,53293,无,无抵押,已上传房本照片,普通住宅,满五年,西南,集中供暖,2019-01-13,2室1厅1厨1卫,平层,板楼,2003年建/板楼,商品房,高楼层 (共6层),78.81㎡,龙泽苑东区,昌平回龙观,2006-01-06,一梯三户,简装,420
70年,非共有,53270,无,暂无数据,已上传房本照片,普通住宅,未满两年,南 北,集中供暖,2019-01-09,3室1厅1厨1卫,平层,板楼,1994年建/板楼,已购公房,底层 (共6层),75.09㎡,康静里,朝阳东坝,2018-04-17,一梯三户,其他,400
70年,非共有,72982,有,无抵押,已上传房本照片,普通住宅,满五年,西南 北,集中供暖,2017-12-29,3室1厅1厨1卫,平层,塔楼,1997年建/塔楼,央产房,低楼层 (共16层),127.43㎡,太平里,西城马连道,2000-09-30,两梯十户,简装,930
70年,共有,38806,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2019-01-13,3室1厅1厨2卫,平层,塔楼,2002年建/塔楼,商品房,高楼层 (共24层),118.54㎡,幸福西区,顺义顺义城,2012-03-27,三梯八户,精装,460
70年,非共有,69280,有,无抵押,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2019-01-11,2室2厅1厨1卫,平层,板楼,2008年建/板楼,商品房,中楼层 (共13层),101.04㎡,万年花城四期,丰台玉泉营,2010-09-19,一梯两户,精装,700
70年,非共有,79452,有,无抵押,已上传房本照片,普通住宅,满五年,南 西 北,集中供暖,2019-01-11,2室2厅1厨1卫,平层,板楼,2011年建/板楼,商品房,中楼层 (共21层),91.88㎡,万年花城五期,丰台玉泉营,2013-11-26,两梯三户,精装,730
70年,非共有,75347,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2019-01-11,3室1厅1厨1卫,平层,板楼,2011年建/板楼,商品房,中楼层 (共6层),90.25㎡,青秀城,丰台玉泉营,2013-11-08,一梯两户,简装,680
70年,非共有,41392,无,有抵押 215万元 哈尔滨银行 金融公司垫资,已上传房本照片,普通住宅,满五年,西南,集中供暖,2018-12-17,2室1厅1厨1卫,平层,板楼,1998年建/板楼,商品房,顶层 (共6层),69.58㎡,晓月苑二里,丰台卢沟桥,2010-12-09,一梯四户,简装,288
70年,共有,59126,有,有抵押 80万元 业主自还,已上传房本照片,普通住宅,满两年,西,自供暖,2018-12-23,1室1厅1厨1卫,平层,塔楼,2006年建/塔楼,商品房,低楼层 (共22层),66.3㎡,三环新城8号院,丰台玉泉营,2015-05-21,两梯六户,精装,392
70年,非共有,89888,有,无抵押,已上传房本照片,普通住宅,满五年,北,集中供暖,2018-12-19,2室1厅1厨1卫,平层,塔楼,1987年建/塔楼,商品房,底层 (共16层),54.29㎡,三义东里,西城马连道,2012-09-14,一梯九户,精装,488
70年,非共有,52135,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2019-01-08,2室1厅1厨1卫,平层,板楼,2003年建/板楼,商品房,中楼层 (共6层),101.66㎡,流星花园三区,昌平回龙观,2007-01-29,一梯三户,精装,530
70年,非共有,89544,有,有抵押 450万元 个人 业主自还,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2019-01-08,3室2厅1厨2卫,平层,板楼,2004年建/板楼,商品房,高楼层 (共20层),163.05㎡,水上华城,东城广渠门,2007-12-24,两梯两户,精装,1460
70年,非共有,56209,有,有抵押 10万元 中国农业银行 业主自还,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-12-29,2室1厅1厨1卫,平层,板楼,2004年建/板楼,商品房,中楼层 (共6层),79.17㎡,矩阵二期,昌平回龙观,2005-11-16,一梯四户,精装,445
